IC,NNG,JKB,JKS,NP,JX,MAG,VA,EC,VV,VX,XSN,VA-I,JKO,EF,VV-I,ETM,SF,VCP,XSA-I,XSV,VCN,XR,NNB,EP,MAJ,VV-R,SL,SN,MM,ETN,JKG,NNP,XSA,JC,NR,Z_CODA,JKC,XPN,VA-R,JKQ,JKV,SSC
아,최근,에,가,나,는,쪼끔,궁금하,ᆫ데,먹,보,들,어떻,을,는지,듣,은,?,이,스럽,하,아니,시시,것,겠,왜냐하면,받,name,1,이,기,의,트라,하,나,십,ᆫ,이,대,좁,라고,야,'
어,연애,에,가,그것,은,좀,궁금하,다,하,않,들,그렇,을,어,듣,은,?,이,스럽,하,아니,복잡,수,었,그리고,믿,name,1,다른,기,에,드,하,나,하나,ᆫ,이,대,수줍,라고,아,
뭐,트렌드,한테,이,그것,은,혹시,있,니까,자,하,네,이렇,을,어,짓,은,?,이,스럽,하,아니,만만,것,었,근데,믿,name,4,그,기,의,혜선,하,이나,하나,ᆻ,이,대,좁,라고,아,
뭐,나이,에서,이,누구,도,혹시,좋,게,알,않,들,그렇,를,ᆫ다,듣,은,.,이,스럽,하,아니,간소,것,었,그래서,받,name,4,다른,기,이,하,하,하고,이,ᆫ,이,비,좁,라고,아,
뭐,요즘,에서,이,우리,은,흔히,있,ᆫ데,다니,주,씩,그렇,을,ᆸ니다,짓,ᆯ,.,이,스럽,하,아니,여의,것,었,그래서,뽑,name,4,어떤,기,의,코로나,하,하고,둘째,ᆺ,가,과,좁,라고,,
아,아이,에,이,나,도,상당히,같,어,하,주,들,그렇,을,더라고,듣,은,.,이,스럽,하,아니,궁금,거,었,그래서,얻,name,1,그런,기,의,수목장,하,이나,둘째,ᆻ,가,노,좁,라고,,
인제,연애,로,가,걔,도,같이,없,라고,느끼,주,간,어떻,을,지,듣,을,?,이,스럽,하,아니,왕성,적,었었,그래서,뽑,name,1,그,기,의,수목장,하,랑,이,ᆼ,이,노,좁,라고,,
어,얘기,에,이,나,는,이제,좋,라고,만나,지,이,그렇,를,어,듣,ᆯ,.,이,스럽,하,아니,그러,년,었,근데,뽑,name,1,모든,기,의,로열,하,과,오,ᆫ,이,대,좁,라고,,
뭐,만추,에,가,우리,만,참,같,어서,보,하,들,안쓰럽,를,지,듣,을,.,이,스럽,하,아니,비슷,것,었,그리고,뽑,name,1,그,기,의,벽제,하,하고,둘,ᆼ,이,제,이르,라고,,
뭐,자연,하고,이,우리,ᆫ,오래,같,면,만나,들,적,그렇,를,지,듣,ᆫ,.,이,스럽,하,아니,비슷,년,었,그러니까,잡,name,1,그,기,이,아,하,이나,둘,ᆻ,가,대,좁,라고,,
그,만남,에,이,나,ᆫ,정확히,없,면,하,지,들,어떻,을,지,듣,ᆫ,.,이,롭,하,아니,확실,년,었,그래서,집,name,1,이런,기,의,파주,하,랑,사,ᆻ,가,소,,고,,
어,추구,에,가,나,는,암튼,다르,면,만나,지,들,안쓰럽,을,더라고,묻,ᆫ,?,이,롭,하,아니,치밀,거,었,근데,얻,name,1,그런,기,의,예리,하,과,이,ᆻ,가,가,,라고,,
뭐,정답,에서,가,요거,이나,혹시,있,게,보,지,성,어떻,을,지,듣,은,.,이,스럽,하,아니,차분,수,었,그리고,얻,name,1,그런,기,의,부산,하,나,이,ᆫ,이,불,,라고,,
뭐,요즘,에,이,우리,는,좀,궁금하,ᆫ다고,있,하,성,그렇,을,어,듣,ᆫ,.,이,스럽,하,아니,그러,수,었,근데,받,name,2,그,기,의,부산,하,나,하나,ᆫ,이,대,,라고,,
뭐,자만추,에,이,우리,는,혹시,없,으면,하,하,쯤,어떻,을,더라고,듣,을,.,이,스럽,하,아니,신기,데,었,그래서,받,name,1,어떤,기,의,엠비,하,이나,하나,ᆯ,이,무,,라고,,
여,말,에,이,우리,은,우선,있,고,만나,있,여,그렇,을,더라고,듣,을,.,이,스럽,하,아니,강,것,었,그리고,뺏,name,2,그,기,의,티아,하,랑,몇,ᆫ,가,신,,라고,,
어,직장,에,이,우리,는,계속,같,게,하,않,이,고맙,를,잖아,듣,는,.,이,스럽,하,아니,차분,년,었,그리고,입,name,1,그런,기,의,엠비,하,이랑,하나,ᆯ,이,무,,라고,,
뭐,동료,에,가,우리,도,다,같,ᆫ다면,하,보,들,그렇,ᆯ,지,묻,던,?,이,스럽,하,아니,뚜렷,년,었,근데,웃,name,11,별,기,의,티아,하,이나,하나,ᆻ,이,무,,라고,,
뭐,옆,에서,이,그거,는,다,좋,고,사귀,않,들,어떻,을,더라고,걷,ᆯ,.,이,스럽,시키,아니,뚜렷,년,었었,그리고,쏟,name,20,그런,기,의,엠비,하,이랑,하나,ᆻ,가,무,,라고,,
뭐,도,에서,이,이것,도,다,같,ᆫ데,하,않,적,그렇,을,어,묻,는,.,이,스럽,하,아니,궁금,수,었,그런데,곱씹,name,2,그런,기,의,티아,하,이나,하나,ᆻ,가,제,,라고,,
뭐,동호회,에,가,우리,는,따로,없,게,옮기,하,화,어떻,을,어요,짓,ᆫ,.,이,답,하,아니,심심,거,었,근데,뜯,name,2,그런,기,의,엠비,하,이랑,하나,ᇂ,가,무,,라고,,
뭐,학교,에,이,나,는,따로,편하,면,사귀,하,화,고렇,를,어,짓,ᆯ,.,이,롭,하,아니,간단,것,었,그래서,묻,name,2,그런,기,의,티아,하,이나,몇,ᆼ,가,대,,라고,,
뭐,자연,보다,이,고것,는,어떻게,좋,은데,되,지,적,어떻,을,지,짓,는,?,이,롭,하,아니,간단,거,었,그리고,잡,name,2,한,기,의,엠비,하,이나,하나,ᆻ,이,대,,라고,,
음,만남,보다,이,이것,는,한꺼번에,같,게,만나,지,들,매끄럽,을,죠,묻,는,.,이,롭,되,아니,심,거,었,그렇지만,잡,name,11,그,기,의,티아,하,나,하나,ᇀ,이,대,,라고,,
그,추구,에,이,우리,도,다,같,어서,사귀,주,들,이렇,를,지,걷,을,?,이,스럽,하,아니,시원,거,겠,근데,얻,name,11,이,기,의,엠비,하,이나,만,ᆼ,이,대,,라고,,
음,자연,에,이,그거,은,따로,있,게,만나,않,님,그렇,를,어,걷,는,.,이,답,되,아니,빡빡,거,었,근데,주고받,name,1,그,기,의,티아,하,나,만,ᆭ,이,제,,라고,,
어,소개,에,이,우리,는,따로,궁금하,어서,모르,하,적,요렇,를,잖아,듣,은,.,이,스럽,되,아니,소소,지,었었,그러니까,받,name,1,그,기,의,엠비,하,나,몇,ᇀ,가,한,,라고,,
