NNP,XSN,JKS,NNG,JX,NP,JKO,MAG,VCP,EC,VV,ETM,NNB,VA,EF,SF,MM,JKG,JKB,MAJ,EP,VX,JKC,VCN,XSV,VV-R,VA-I,VV-I,IC,SN,XSA,NR,JKQ,XR,XPN,ETN,JC,SL,XSA-I,VA-R,Z_CODA,JKV,XSM
엠비,이,가,요즘,은,이거,를,굉장히,이,랄까,여기,는,거,같,어,.,그,의,에서,따라서,었,않,이,아니,하,얻,어떻,듣,뭐,1,하,몇,라고,비슷,제,음,과,name,롭,좁,ᇀ,아,히
티아,들,가,사람,도,뭐,를,왜냐하면,이,는데,하,는,거,같,어,.,그,의,에,그런데,었었,보,이,아니,되,얻,그렇,듣,아,1,하,이,라고,비슷,저,음,랑,name,롭,좁,ᇀ,아,
엠비,시,이,중요,은,자기,을,아까,이,지,하,는,번,같,잖아,.,몇,의,에,그런데,었,싶,가,아니,되,얻,이렇,듣,아,1,하,몇,이라고,비슷,무,음,랑,name,롭,좁,ᆻ,아,
티아,들,가,사람,은,그거,를,안,이,는다고,변하,ᆫ,점,있,어,.,그,의,에,근데,었,않,이,아니,하,얻,이렇,듣,어머,2,하,십,라고,온순,무,기,과,name,롭,좁,ᆫ,야,
제이,적,가,관계,은,거기,을,인제,이,고,하,은,거,있,잖아,.,그,의,에,그리고,었,하,이,아니,하,받,그렇,짓,어,3,하,몇,라고,온화,저,기,과,name,롭,좁,ᆫ,아,
엠비,적,가,관계,은,뭐,를,안,이,면,그러,ᆫ,수,같,야,.,그,의,에,그래서,었,보,이,아니,하,받,반갑,듣,아,1,하,하나,라고,따뜻,저,ᆷ,과,name,스럽,이르,ᆫ,야,
티아,적,가,검사,는,그거,를,잘,이,ᆯ까,태어나,ᆯ,수,많,어,.,어떤,의,에,그래서,었,가지,이,아니,하,받,이렇,듣,어,2,하,열,라고,따뜻,한,ᆷ,과,name,스럽,굳,ᆽ,야,
제이,님,가,기본,ᆫ,나,을,안,이,ᆫ다고,타고나,은,거,있,구나,.,그,의,한테,그래서,었,있,가,아니,하,받,저렇,듣,그,3,하,다섯,라고,온화,재,기,과,name,롭,좁,ᆫ,,
엠비,형,가,기본,도,나,를,스스로,이,지,들,ᆯ,것,똑같,어,.,이,의,에,그리고,시,만들,가,아니,하,받,그렇,듣,아,3,하,하나,라고,괴팍,저,ᆷ,이나,name,롭,이르,ᆻ,,
티아,님,가,성질,도,나,을,차분히,이,어,변하,ᆯ,수,있,거든,.,그,의,에,그래서,겠,보,가,아니,하,믿,저렇,듣,그,3,하,사,라고,괴팍,제,ᆷ,이나,name,롭,,ᆸ,,
엠비,이,이,느낌,도,나,을,많이,이,는데,하,ᆯ,거,비슷하,야,.,이,의,에,그래서,었,싶,이,아니,하,받,어떻,돕,뭐,3,하,하나,라고,괴팍,한,ᆷ,과,name,스럽,,ᆻ,,
티아,들,이,성질,는,나,을,더,이,ᆫ가,변하,ᆯ,번,세,구나,.,그,의,에,근데,겠,하,이,아니,하,받,저렇,듣,뭐,60,하,둘,라고,바람직,제,기,과,name,스럽,,ᆺ,,
