VV,ECS,NNG,JKM,JKS,NP,JX,MAG,XR,XSA,ETD,NNB,ECD,XSN,VA,JKO,ECE,SF,XSV,EFN,VCP,MAC,EPT,VCN,OL,NR,NNM,MDT,ETN,UN,EFQ,VXV,MDN,VX,IC,EFA,NNP,VXA,EPH,JC,JKG,JKC,EFI,JKQ,JKI,EFO,XPN,SS
아,아,최근,에,가,나,는,쪼끔,궁금,하,ㄴ,데,니까,들,어떻,을,ㄴ데,?,하,ㄴ다,이,그래서,더,아니,name,1,년,다른,기,걔네들,나,않,한,들,음,자,하다,싶,시,랑,의,이,구나,라고,아,우,호,'
먹,다,연애,에,가,뭐,은,좀,궁금,하,은,것,게,들,이렇,을,면,?,하,ㅂ니다,이,그래서,겠,아니,name,1,년,그,기,드는,ㄴ가,주,한,못하,음,으세요,하면,싶,으시,랑,의,이,구나,라고,아,아라,준,
보,는지,트렌드,에서,이,뭐,라고,혹시,시시,스럽,ㄴ,수,게,씩,좋,을,면,?,하,라고,이,그래서,었,아니,name,4,년,다른,기,결혼식,나,주,한,못하,글쎄,으세요,대신,만하,으시,랑,의,이,구나,고,아,으라,공,
하,어,나이,서,가,뭐,은,혹시,궁금,스럽,ㄴ,것,어,들,같,한테,면,.,하,지,이,그래서,었,아니,name,4,년,어떤,기,혜선이,나,주,한,오,음,으세요,하다,싶,시,랑,의,가,는구나,라고,아,우,저,
그,아,요즘,에서,가,누구,라고,흔히,궁금,스럽,ㄴ,것,아,들,없,를,ㄴ다고,.,하,지,이,그래서,았,아니,name,4,년,그,기,들어가는,을까,지,한,못하,음,으세요,파주,싶,시,랑,의,이,구나,라고,야,으라,친,
듣,어,아이,에,는,우리,도,왜냐하면,만만,스럽,ㄹ,것,게,들,좋,을,고,.,하,지,이,그리고,더,아니,name,1,년,그런,기,얘,나,있,한,못하,음,으세요,모든,싶,으시,과,의,이,구나,라고,아,아라,맞,
있,어,연애,로,이,이,도,상당히,간소,스럽,은,거,게,들,같,을,고,?,하,다고,이,그래서,었,아니,name,1,년,그,기,얘네들,리,않,한,못하,글쎄,으세요,하다,있,시,나,의,가,는구나,라고,아,우,친,
알,는지,얘기,에,가,이,도,적이,궁금,하,을,거,으면,들,그렇,을,ㄴ다면,.,하,라고,이,하지만,었,아니,name,1,건,모든,기,느껴지네,을까,않,네,못하,음,으세요,하면,만하,시,이나,의,이,구나,라고,야,아라,신,
어,어,자만,에,가,나,만,인제,연연,하,ㄹ,수,게,들,그렇,를,고,.,하,지,이,그런데,았,아니,name,1,세,그,기,응,을까,보,네,오,음,으세요,미국,싶,시,랑,의,이,는구나,라고,아,우,대,
말하,어,추,에,이,뭐,는,같이,궁금,하,을,수,게,적,그렇,를,ㄴ데,.,하,다고,이,그래서,었,아니,name,1,건,이런,기,응,ㄹ까,않,한,못하,음,으세요,미국,싶,으시,이랑,의,이,구나,라고,아,으라,생,
