NNG,JKS,XSN,JX,NP,JKO,MAG,UN,VV,ECS,ETD,NNB,VA,ECD,SF,MDT,JKG,JKM,MAC,EPT,VXV,EFQ,EFN,ECE,VXA,VCP,VCN,NR,EFI,XSV,JKQ,NNP,JC,XR,XSA,EPH,ETN,JKC,OL,NNM,VX,JKI,MDN,XPN,IC,EFO,EFA
엠,가,들,은,이거,를,굉장히,랄,까,아,는,거,같,아,.,그,의,에서,그런데,었,않,는다고,잖아,고,싶,이,아니,1,구나,되,라고,하면,랑,비슷,하,시,음,이,name,차,있,아,한,무,음,아라,으세요
비,가,아,도,뭐,를,왜냐하면,가지고,여기,아,는,거,같,아서,.,그,의,에,그런데,었,보,을까,잖아,면,싶,이,아니,십,는구나,되,고,세요,과,비슷,하,시,ㅁ,가,name,차,못하,아,한,부,아,아라,ㅂ시다
티,이,들,은,자기,을,아까,얘,따르,어,는,번,같,아,.,몇,의,에,그래서,었,보,냐,잖아,ㄴ다고,싶,이,아니,1,구나,시키,라고,하면,과,비슷,지,시,ㅁ,가,name,차,못하,아,세,비,아,으라,ㅂ시다
아이,이,적,은,그거,를,안,맺어,하,아,ㄴ,거,같,는데,.,그,의,에,그래서,았,있,냐,야,건,싶,이,아니,1,구나,하,라고,하면,과,비슷,하,시,기,이,name,명,못하,아,두,부,음,으라,ㅂ시다
요즘,가,님,는,거기,을,인제,없는,하,어,은,수,어떻,지,.,그,의,에,그래서,았,보,던,든가,고,싶,이,아니,2,구나,하,라고,하면,과,온순,하,시,기,이,name,명,못하,아,네,노,글쎄,어라,으세요
사람,이,형,도,나,를,안,거잖,변하,어,ㄴ,수,많,ㄹ까,.,뭔,의,에,그리고,았,나,던,든가,면,싶,이,아니,3,구나,하,고,스마트,이나,온화,하,으시,기,가,name,개월,못하,야,한,부,음,어라,으세요
중요시,가,님,도,나,를,근데,거잖,하,어,ㄴ,거,어떻,어,.,그,의,에,그래서,였,있,을까,든가,면,싶,이,아니,1,구나,하,라고,하면,이나,따뜻,하,시,ㅁ,가,name,개월,못하,아,네,무,음,으라,으세요
사람,가,들,도,내,한테,쑥덕쑥덕,네가,그러,아,ㄹ,것,그렇,는데,.,그,의,에,그래서,았,주,냐,거든,지만,싶,이,아니,2,구나,하,고,하다,과,따뜻,하,으시,ㅁ,가,name,개월,가,야,한,재,음,으라,으세요
관계,가,아,도,나,을,안,거잖,태어나,어,은,수,이렇,어야,.,이,의,에,그런데,었,주,냐,잖아,고,싶,이,아니,3,구나,하,라고,모든,랑,온화,하,시,ㅁ,이,name,년,오,야,한,재,글쎄,우,으세요
엠,가,들,는,내,를,차분히,해야겠다,타고나,어,ㄹ,거,이렇,아서,.,그,의,에,그런데,겠,있,을까,거든,면,싶,이,아니,3,구나,하,라고,모든,과,괴팍,하,시,ㅁ,이,name,년,오,야,한,저,음,어라,으세요
비,가,아,는,내,을,많이,랄,아니,다,ㄹ,번,똑같,어서,.,몇,의,에,그래서,겠,주,을까,지,면서,싶,이,아니,3,구나,하,라고,하면,과,괴팍,하,시,ㅁ,이,name,지,있,아,한,부,음,아라,으세요
